Type,ShippingMode,LateDeliveryRisk,CategoryName,CustomerSegment,OrderItemTotal,OrderRegion,ShippingMonthName
PAYMENT,Standard Class,1,Water Sports,Home Office,169.9900055,Central America,May
PAYMENT,Standard Class,1,Water Sports,Home Office,167.9900055,Central America,May
DEBIT,Standard Class,1,Water Sports,Consumer,165.9900055,Central America,May
DEBIT,Standard Class,1,Water Sports,Consumer,163.9900055,Central America,May
DEBIT,First Class,1,Water Sports,Consumer,159.9900055,Central America,April
PAYMENT,First Class,1,Water Sports,Home Office,149.9900055,South America,April
PAYMENT,First Class,1,Water Sports,Consumer,197.9900055,Central America,April
TRANSFER,Standard Class,1,Water Sports,Consumer,191.9900055,Central America,May
DEBIT,Standard Class,1,Water Sports,Consumer,185.9900055,Central America,May
DEBIT,Second Class,1,Water Sports,Consumer,175.9900055,Central America,May
DEBIT,Second Class,1,Water Sports,Consumer,173.9900055,Central America,May
TRANSFER,Second Class,1,Water Sports,Consumer,169.9900055,Caribbean,April
PAYMENT,Second Class,1,Water Sports,Consumer,195.9900055,Central America,April
PAYMENT,Second Class,1,Water Sports,Consumer,193.9900055,Central America,April
PAYMENT,First Class,1,Water Sports,Corporate,189.9900055,South America,April
DEBIT,First Class,1,Water Sports,Consumer,188.9900055,Central America,April
PAYMENT,Standard Class,1,Water Sports,Corporate,185.9900055,Central America,May
TRANSFER,Second Class,1,Water Sports,Corporate,167.9900055,Caribbean,April
DEBIT,Standard Class,1,Water Sports,Consumer,165.9900055,Caribbean,April
DEBIT,First Class,1,Water Sports,Corporate,149.9900055,South America,April
PAYMENT,Standard Class,1,Water Sports,Corporate,185.9900055,Central America,May
PAYMENT,Standard Class,1,Water Sports,Corporate,181.9900055,Central America,May
PAYMENT,Standard Class,1,Water Sports,Consumer,175.9900055,South America,April
PAYMENT,Standard Class,1,Water Sports,Consumer,173.9900055,South America,April
TRANSFER,First Class,1,Water Sports,Corporate,169.9900055,Central America,April
PAYMENT,First Class,1,Water Sports,Corporate,167.9900055,Caribbean,April
