Type,ShippingMode,LateDeliveryRisk,CategoryName,CustomerSegment,OrderItemTotal,OrderRegion,ShippingMonthName,Type_index,ShippingMode_index,CategoryName_index,CustomerSegment_index,OrderRegion_index,ShippingMonthName_index
DEBIT,First Class,1,Sporting Goods,Home Office,288.4200134,Eastern Asia,January,0.0,2.0,34.0,2.0,10.0,0.0
TRANSFER,First Class,1,Sporting Goods,Corporate,285.1400146,Eastern Asia,January,1.0,2.0,34.0,1.0,10.0,0.0
CASH,First Class,1,Sporting Goods,Corporate,275.3099976,Eastern Asia,January,3.0,2.0,34.0,1.0,10.0,0.0
TRANSFER,Second Class,1,Sporting Goods,Corporate,262.2000122,Southeast Asia,January,1.0,1.0,34.0,1.0,6.0,0.0
PAYMENT,Second Class,1,Sporting Goods,Corporate,321.2000122,Eastern Asia,January,2.0,1.0,34.0,1.0,10.0,0.0
TRANSFER,Standard Class,1,Sporting Goods,Corporate,304.8099976,South Asia,January,1.0,0.0,34.0,1.0,9.0,0.0
TRANSFER,Second Class,1,Sporting Goods,Corporate,298.25,Oceania,January,1.0,1.0,34.0,1.0,3.0,0.0
DEBIT,Second Class,1,Sporting Goods,Corporate,285.1400146,Oceania,January,0.0,1.0,34.0,1.0,3.0,0.0
TRANSFER,Second Class,1,Sporting Goods,Consumer,278.5899963,Oceania,January,1.0,1.0,34.0,0.0,3.0,0.0
DEBIT,Standard Class,1,Sporting Goods,Consumer,245.8099976,South Asia,January,0.0,0.0,34.0,0.0,9.0,0.0
PAYMENT,First Class,1,Sporting Goods,Consumer,321.2000122,Eastern Asia,January,2.0,2.0,34.0,0.0,10.0,0.0
PAYMENT,First Class,1,Sporting Goods,Corporate,317.9200134,Southeast Asia,January,2.0,2.0,34.0,1.0,6.0,0.0
CASH,First Class,1,Sporting Goods,Corporate,314.6400146,South Asia,January,3.0,2.0,34.0,1.0,9.0,0.0
DEBIT,First Class,1,Sporting Goods,Corporate,311.3599854,Oceania,January,0.0,2.0,34.0,1.0,3.0,0.0
DEBIT,Same Day,1,Sporting Goods,Consumer,309.7200012,Oceania,January,0.0,3.0,34.0,0.0,3.0,0.0
PAYMENT,Same Day,1,Sporting Goods,Consumer,298.25,Southeast Asia,January,2.0,3.0,34.0,0.0,6.0,0.0
DEBIT,Same Day,1,Sporting Goods,Home Office,294.980011,Southeast Asia,January,0.0,3.0,34.0,2.0,6.0,0.0
TRANSFER,Standard Class,1,Sporting Goods,Corporate,275.3099976,South Asia,January,1.0,0.0,34.0,1.0,9.0,0.0
TRANSFER,Second Class,1,Sporting Goods,Corporate,272.0299988,South Asia,January,1.0,1.0,34.0,1.0,9.0,0.0
PAYMENT,Second Class,1,Cleats,Home Office,115.1800003,South Asia,February,2.0,1.0,0.0,2.0,9.0,8.0
PAYMENT,Second Class,1,Women's Apparel,Home Office,87.0,West Asia,January,2.0,1.0,2.0,2.0,12.0,0.0
PAYMENT,Second Class,1,Boxing & MMA,Home Office,90.15000153,West of USA,August,2.0,1.0,29.0,2.0,8.0,2.0
PAYMENT,Second Class,1,Cleats,Home Office,117.5800018,West of USA,April,2.0,1.0,0.0,2.0,8.0,5.0
PAYMENT,Second Class,1,Cleats,Home Office,95.98000336,US Center,May,2.0,1.0,0.0,2.0,13.0,4.0
PAYMENT,Second Class,1,Shop By Sport,Home Office,113.9700012,Central Africa,November,2.0,1.0,8.0,2.0,19.0,11.0
PAYMENT,Second Class,1,Electronics,Home Office,79.66000366,North Africa,December,2.0,1.0,9.0,2.0,17.0,10.0
PAYMENT,Second Class,1,Cardio Equipment,Home Office,224.9799957,Western Europe,August,2.0,1.0,7.0,2.0,1.0,2.0
PAYMENT,Second Class,1,Cleats,Home Office,176.3699951,Western Europe,September,2.0,1.0,0.0,2.0,1.0,6.0
PAYMENT,Second Class,1,Cleats,Home Office,163.7700043,Northern Europe,September,2.0,1.0,0.0,2.0,4.0,6.0
PAYMENT,Second Class,1,Cleats,Home Office,161.9700012,Western Europe,August,2.0,1.0,0.0,2.0,1.0,2.0
PAYMENT,Second Class,1,Women's Apparel,Home Office,112.5,Western Europe,September,2.0,1.0,2.0,2.0,1.0,6.0
PAYMENT,Second Class,1,Trade-In,Home Office,55.40999985,Western Europe,July,2.0,1.0,14.0,2.0,1.0,1.0
PAYMENT,Second Class,1,Cardio Equipment,Home Office,299.9700012,Central America,April,2.0,1.0,7.0,2.0,0.0,5.0
