Type,ShippingMode,LateDeliveryRisk,CategoryName,CustomerSegment,OrderItemTotal,OrderRegion,ShippingMonthName,Type_index,ShippingMode_index,CategoryName_index,CustomerSegment_index,OrderRegion_index,ShippingMonthName_index
PAYMENT,Same Day,1,Women's Apparel,Home Office,112.5,Western Europe,August,2.0,3.0,2.0,2.0,1.0,2.0
PAYMENT,Same Day,1,Cardio Equipment,Home Office,272.9700012,Central America,March,2.0,3.0,7.0,2.0,0.0,3.0
PAYMENT,Same Day,1,Cleats,Home Office,158.3699951,Central America,May,2.0,3.0,0.0,2.0,0.0,4.0
PAYMENT,Same Day,1,Cleats,Home Office,156.5700073,Central America,March,2.0,3.0,0.0,2.0,0.0,3.0
PAYMENT,Same Day,1,Women's Apparel,Home Office,126.0,Central America,May,2.0,3.0,2.0,2.0,0.0,4.0
PAYMENT,Same Day,1,Women's Apparel,Home Office,150.0,West Asia,January,2.0,3.0,2.0,2.0,12.0,0.0
PAYMENT,Same Day,1,Women's Apparel,Home Office,135.0,Oceania,March,2.0,3.0,2.0,2.0,3.0,3.0
PAYMENT,Same Day,1,Cleats,Home Office,199.1699982,North Africa,November,2.0,3.0,0.0,2.0,17.0,11.0
PAYMENT,Same Day,1,Soccer,Home Office,303.9599915,Western Europe,July,2.0,3.0,44.0,2.0,1.0,1.0
PAYMENT,Same Day,1,Cardio Equipment,Home Office,319.9700012,Western Europe,August,2.0,3.0,7.0,2.0,1.0,2.0
PAYMENT,Same Day,1,Cardio Equipment,Home Office,379.9599915,West of USA,June,2.0,3.0,7.0,2.0,8.0,7.0
PAYMENT,Same Day,1,Women's Apparel,Home Office,186.0,West of USA,April,2.0,3.0,2.0,2.0,8.0,5.0
PAYMENT,Same Day,1,Electronics,Home Office,237.5500031,North Africa,December,2.0,3.0,9.0,2.0,17.0,10.0
PAYMENT,Same Day,1,Cleats,Home Office,290.9500122,Northern Europe,June,2.0,3.0,0.0,2.0,4.0,7.0
PAYMENT,Same Day,1,Shop By Sport,Home Office,165.9600067,South America,June,2.0,3.0,8.0,2.0,2.0,7.0
PAYMENT,Same Day,1,Women's Apparel,Home Office,247.5,Southeast Asia,March,2.0,3.0,2.0,2.0,6.0,3.0
PAYMENT,Same Day,1,Shop By Sport,Home Office,159.9600067,West of USA,April,2.0,3.0,8.0,2.0,8.0,5.0
PAYMENT,Second Class,1,Men's Footwear,Home Office,122.8399963,West Africa,December,2.0,1.0,1.0,2.0,16.0,10.0
PAYMENT,Second Class,1,Men's Footwear,Home Office,116.9899979,Southern Africa,November,2.0,1.0,1.0,2.0,20.0,11.0
PAYMENT,Second Class,1,Cleats,Home Office,53.99000168,West Africa,January,2.0,1.0,0.0,2.0,16.0,0.0
PAYMENT,Second Class,1,Men's Footwear,Home Office,107.8899994,North Africa,September,2.0,1.0,1.0,2.0,17.0,6.0
PAYMENT,Second Class,1,Men's Footwear,Home Office,97.48999786,West Africa,January,2.0,1.0,1.0,2.0,16.0,0.0
PAYMENT,Second Class,1,Women's Apparel,Home Office,43.5,Central Africa,December,2.0,1.0,2.0,2.0,19.0,10.0
PAYMENT,Second Class,1,Camping & Hiking,Home Office,299.980011,East Africa,January,2.0,1.0,6.0,2.0,18.0,0.0
PAYMENT,Second Class,1,Camping & Hiking,Home Office,224.9900055,East Africa,January,2.0,1.0,6.0,2.0,18.0,0.0
PAYMENT,Second Class,1,Men's Footwear,Home Office,129.9900055,Southern Europe,September,2.0,1.0,1.0,2.0,5.0,6.0
PAYMENT,Second Class,1,Men's Footwear,Home Office,124.7900009,Northern Europe,August,2.0,1.0,1.0,2.0,4.0,2.0
PAYMENT,Second Class,1,Shop By Sport,Home Office,34.79000092,Western Europe,August,2.0,1.0,8.0,2.0,1.0,2.0
PAYMENT,Second Class,1,Consumer Electronics,Home Office,252.8800049,Southern Europe,November,2.0,1.0,30.0,2.0,5.0,11.0
PAYMENT,Second Class,1,Cameras,Home Office,438.480011,Southern Europe,October,2.0,1.0,20.0,2.0,5.0,9.0
PAYMENT,Second Class,1,Cameras,Home Office,384.230011,Southern Europe,October,2.0,1.0,20.0,2.0,5.0,9.0
PAYMENT,Second Class,1,Consumer Electronics,Home Office,202.3000031,Western Europe,November,2.0,1.0,30.0,2.0,1.0,11.0
PAYMENT,Second Class,1,Cardio Equipment,Home Office,97.98999786,Southern Europe,July,2.0,1.0,7.0,2.0,5.0,1.0
PAYMENT,Second Class,1,Cardio Equipment,Home Office,28.35000038,Southern Europe,July,2.0,1.0,7.0,2.0,5.0,1.0
PAYMENT,Second Class,1,Cardio Equipment,Home Office,82.98999786,Western Europe,July,2.0,1.0,7.0,2.0,1.0,1.0
PAYMENT,Second Class,1,Crafts,Home Office,461.480011,Northern Europe,November,2.0,1.0,25.0,2.0,4.0,11.0
PAYMENT,Second Class,1,Men's Footwear,Home Office,129.9900055,Northern Europe,July,2.0,1.0,1.0,2.0,4.0,1.0
PAYMENT,Second Class,1,Men's Footwear,Home Office,129.9900055,Northern Europe,October,2.0,1.0,1.0,2.0,4.0,9.0
PAYMENT,Second Class,1,Men's Footwear,Home Office,128.6900024,Northern Europe,July,2.0,1.0,1.0,2.0,4.0,1.0
PAYMENT,Second Class,1,Men's Footwear,Home Office,128.6900024,Northern Europe,August,2.0,1.0,1.0,2.0,4.0,2.0
PAYMENT,Second Class,1,Men's Footwear,Home Office,128.6900024,Northern Europe,June,2.0,1.0,1.0,2.0,4.0,7.0
PAYMENT,Second Class,1,Cleats,Home Office,57.59000015,Northern Europe,August,2.0,1.0,0.0,2.0,4.0,2.0
PAYMENT,Second Class,1,Cleats,Home Office,57.59000015,Southern Europe,July,2.0,1.0,0.0,2.0,5.0,1.0
PAYMENT,Second Class,1,Men's Footwear,Home Office,124.7900009,Western Europe,September,2.0,1.0,1.0,2.0,1.0,6.0
PAYMENT,Second Class,1,Men's Footwear,Home Office,123.4899979,Northern Europe,July,2.0,1.0,1.0,2.0,4.0,1.0
PAYMENT,Second Class,1,Men's Footwear,Home Office,123.4899979,Northern Europe,October,2.0,1.0,1.0,2.0,4.0,9.0
PAYMENT,Second Class,1,Men's Footwear,Home Office,123.4899979,Western Europe,September,2.0,1.0,1.0,2.0,1.0,6.0
PAYMENT,Second Class,1,Men's Footwear,Home Office,122.8399963,Western Europe,July,2.0,1.0,1.0,2.0,1.0,1.0
PAYMENT,Second Class,1,Men's Footwear,Home Office,118.2900009,Southern Europe,September,2.0,1.0,1.0,2.0,5.0,6.0
PAYMENT,Second Class,1,Crafts,Home Office,415.3299866,Western Europe,November,2.0,1.0,25.0,2.0,1.0,11.0
PAYMENT,Second Class,1,Cleats,Home Office,52.18999863,Western Europe,September,2.0,1.0,0.0,2.0,1.0,6.0
PAYMENT,Second Class,1,Men's Footwear,Home Office,110.4899979,Eastern Europe,January,2.0,1.0,1.0,2.0,15.0,0.0
PAYMENT,Second Class,1,Men's Footwear,Home Office,110.4899979,Northern Europe,September,2.0,1.0,1.0,2.0,4.0,6.0
PAYMENT,Second Class,1,Cleats,Home Office,50.38999939,Northern Europe,July,2.0,1.0,0.0,2.0,4.0,1.0
PAYMENT,Second Class,1,Men's Footwear,Home Office,109.1900024,Northern Europe,July,2.0,1.0,1.0,2.0,4.0,1.0
